sku;Brand;Description;Final_price;Original_price;Discount;Regular_price;Regular_price_measure;Regular_price_un;timestamp
407183;DON VICENTE;Fideos Don Vicente Fettuccini X500g;1683.0;;;3366.0;1;kg;2023-12-27 14:41:54.478
407211;MATARAZZO;Fideos Matarazzo Tirabuzón N28 X500g;1075.0;;;2150.0;1;kg;2023-12-27 14:41:54.478
60013;ALCAZAR;Vinagre Alcazar De Alcohol X 500 Cc.;321.0;;;642.0;1;lt;2023-12-27 14:41:54.478
374131;LADDU BAR;Barra Laddu Bar Vegana Brownie X 30g;478.0;;;1593.33;100;gr;2023-12-27 14:41:54.478
29364;JORGITO;Alfajor Negro Con Dulce De Leche Jorgito Mini 155 Gr;1359.06;;;8768.13;1;kg;2023-12-27 14:41:54.478
336065;GIACOMO;Capelettini Giacomo Tridicci 500g;1718.0;;;3436.0;1;kg;2023-12-27 14:41:54.478
335434;CABRALES;Capsulas Cabrales Super X55g;4980.66;;;90557.45;1;kg;2023-12-27 14:41:54.478
17639;KINDER;Kinder Chocolate 12,5 Gr;153.28;;;1226.24;100;gr;2023-12-27 14:41:54.478
245364;DOS HERMANOS;Galleta De Arroz Slim Dos Hermanos Dulce X100 Gr;545.13;;;5451.3;1;kg;2023-12-27 14:41:54.478
391526;OREO;Galletitas Oreo Chocolate X118g;456.95;703.0;-35%;5957.63;1;kg;2023-12-27 14:41:54.478
403585;LACTAL;Pan Con Salvado Con Semillas De Chia Y De Lino Lactal 330g;1664.0;;;5042.42;1;kg;2023-12-27 14:41:54.478
20175;9 DE ORO;Sconcitos 9 De Oro 200 Gr;713.0;;;3565.0;1;kg;2023-12-27 14:41:54.478
18166;FRESH MP;Palmeritas De Manteca 200 Gr;1266.85;1949.0;-35%;9745.0;1;kg;2023-12-27 14:41:54.478
293852;MORIXE;Pan Rallado Morixe 500 Gr;814.0;;;1628.0;1;kg;2023-12-27 14:41:54.478
300507;FERRERO;Bombones Ferrero Rocher 4 U;858.11;;;621.82;1;kg;2023-12-27 14:41:54.478
329410;PASEO;Galletitas Paseo De Agua Sin Sal 250gr;379.0;;;1516.0;1;kg;2023-12-27 14:41:54.478
24376;SERENATA;Garrapiñada Serenata De Maní X 80 Gr;249.0;;Llevando 2: $124.50 c/u;3112.5;1;kg;2023-12-27 14:41:54.478
319793;QUAKER;Avena Quaker Extra Fina 470g;1200.13;;;2553.47;1;kg;2023-12-27 14:41:54.478
30217;TIC TAC;Pastillas Tic Tac Menta 33 U;176.07;;;1100.44;100;gr;2023-12-27 14:41:54.478
347649;CEREAL MIX;Barras De Cereal Arcor Mix Original X 92 G;1206.0;;;13108.7;1;kg;2023-12-27 14:41:54.478
