brand;description;final_price;original_price;discount;regular_price;sku
STARBUCKS;Starbucks® Nespresso® Espresso Roast X 10un;$4.185,47;;;Precio regular: $418,55 x un;312511
TIC TAC;Pastillas Tic Tac Mix De Frutas 33 U;$220;;;Precio regular: $1.375 x 100 gr.;34405
NESQUIK;Nesquik® Original Polvo Chocolatado Menos Azúcar X 300gr;$2.236;2do al 70%;Llevando 2: $1.453,4 c/u;Precio regular: $7.453,33 x kg;392447
CBSE;Yerba Mate Cbse Naranja X500g;$1.089,09;$1.555,85;-30%;Precio regular: $3.111,7 x kg;331011
CACHAFAZ;Galletitas Integral Cachafaz Avena Y Pasas 225 Gr;$1.666;;;Precio regular: $7.404,44 x kg;28200
CASERITA;Harina Caserita Leudante 1 Kg;$490;;;Precio regular: $490 x kg;2362
ALCAZAR;Vinagre Alcazar De Alcohol X 500 Cc.;$400;;;Precio regular: $800 x lt;60013
CACHAFAZ;Alfajores Cachafaz Negros 360g;$6.098;;;Precio regular: $16.938,89 x kg;46317
DON VICENTE;Fideos Don Vicente Fettuccini X500g;$1.683;;;Precio regular: $3.366 x kg;407183
ARCOR;Mermelada Arcor Damasco Fruta X454g;$951;;;Precio regular: $2.094,71 x kg;337042
HOJALMAR;Galletitas Hojalmar Larguitas De Hojaldre 150 Gr;$414;;;Precio regular: $2.760 x kg;2757
LA LECHERA;La Lechera® Nutrifuerza X 800gr;$4.797;;;Precio regular: $5.996,25 x kg;392428
PRINGLES;Papas Pringles Queso X124gs;$1.856,96;;;Precio regular: $15.474,67 x kg;386822
CUISINE & CO NBE MP;Tostadas Finas light 140gr C&co;$1.700;;;Precio regular: $12.142,86 x kg;309293
HELLMANN´S;Salsa Golf Hellmanns Sin Tacc X250gr;$353,6;$544;-35%;Precio regular: $2.176 x kg;384486
CUISINE & CO NBE MP;Galles Con Avena Y Coco Con Chips 186 Gr C&co;$1.200;;;Precio regular: $6.451,61 x kg;340069
BIMBO;Pan Brioche De Hamburguesa Artesano X 4u;$1.658;;;Precio regular: $6.908,33 x kg;386149
FRUTIGRAN;Galletitas Frutigran Con Chips De Chocolate 255 Gr;$774,52;;;Precio regular: $3.037,33 x kg;32988
ALICANTE;Pimenton Alicante St X50g;$1.020;;;Precio regular: $2.040 x 100 gr.;342885
KRACH-ITOS;Papas Krach-itos Corte Americano X115g;$1.331;;;Precio regular: $11.573,91 x kg;387604
BIMBO;Pan Integral Cero Cero Bimbo 350g;$2.553;;;Precio regular: $7.294,29 x kg;403600
ROYAL;Gelatina Royal Frutos Rojos 25g;$512;;;Precio regular: $2.048 x 100 gr.;386164
BIGGYS;Pochoclo Acaramelados Biggys X 60gr;$450;;;Precio regular: $7.500 x kg;306619
ROYAL;Gelatina Sin Sabor Royal 14g;$306;;;Precio regular: $2.185,71 x 100 gr.;45471
ALICANTE;Coco Rallado Alicante St X50g;$569;;;Precio regular: $11,38 x lt;342875
ALICANTE;Oregano Alicante St X50gr;$1.390;;;Precio regular: $2.780 x 100 gr.;336771
ALICANTE;Bicarbonato De Sodio Alicante St X50g;$418;;;Precio regular: $836 x 100 gr.;342880
LETIZIA;Harina De Trigo Letizia 000 X1kg;$432;;;Precio regular: $432 x kg;288862
SERENATA;Garrapiñada Serenata De Maní X 80 Gr;$249;;;Precio regular: $3.112,5 x kg;24376
STARBUCKS;Starbucks® Nespresso® Pike Place X 10un;$4.185,47;;;Precio regular: $418,55 x un;312509
